model_name,component_group,dataset_name,subgroup_type,subgroup_value,sample_n,death_n,death_rate,auroc_death_ovr,auprc_death,multiclass_brier,calibration_intercept_death,calibration_slope_death
B2_direct_reduced_vis_flags,B_support_intensity,eicu_external,phenotype_label,Phenotype_1,901939.0,17536.0,0.019442556536528523,0.7644846611136878,0.1214803024776494,0.6818175074334183,-3.626603554945959,0.9969674976039739
B2_direct_reduced_vis_flags,B_support_intensity,eicu_external,phenotype_label,Phenotype_2,88640.0,2482.0,0.02800090252707581,0.7402143549810172,0.17226571166070215,0.6709329625362516,-3.433181099239093,1.0005938895914692
B2_direct_reduced_vis_flags,B_support_intensity,eicu_external,phenotype_label,Phenotype_3,60778.0,2575.0,0.04236730395866926,0.7257891454232248,0.1842731164653257,0.7049937830991556,-3.228427576723817,0.8893691340246976
B2_direct_reduced_vis_flags,B_support_intensity,eicu_external,is_sepsis_on_admission,0,643867.0,14759.0,0.022922435844669783,0.7679205596013977,0.1461095241514221,0.6744233324428023,-3.668524765182934,1.0543525576736863
B2_direct_reduced_vis_flags,B_support_intensity,eicu_external,is_sepsis_on_admission,1,407490.0,7834.0,0.019225011656727773,0.7620282011907314,0.11023961493876033,0.6945900095596309,-3.4181602403497444,0.9409643389557052
B2_direct_reduced_vis_flags,B_support_intensity,eicu_external,phenotype_transfer_group,stable_transfer_Phenotype_1_2,990579.0,20018.0,0.020208383177919176,0.7626880661411846,0.1271330559661189,0.6808435254898431,-3.6050008256487485,1.0002920655305114
B2_direct_reduced_vis_flags,B_support_intensity,eicu_external,phenotype_transfer_group,weak_transfer_Phenotype_3,60778.0,2575.0,0.04236730395866926,0.7257891454232248,0.1842731164653257,0.7049937830991556,-3.228427576723817,0.8893691340246976
B3_full_VIS_internal_only_sensitivity,B_support_intensity,mimic_internal_test,phenotype_label,Phenotype_1,611693.0,11402.0,0.01864006944660148,0.8023378312310788,0.17476777695718324,0.5974352945961217,-3.2099993752394407,1.052919768773342
B3_full_VIS_internal_only_sensitivity,B_support_intensity,mimic_internal_test,phenotype_label,Phenotype_2,371043.0,7852.0,0.021161967750368556,0.7689320350103884,0.18049684456046386,0.5801185558931964,-3.168111940452977,1.026774171499621
B3_full_VIS_internal_only_sensitivity,B_support_intensity,mimic_internal_test,phenotype_label,Phenotype_3,47790.0,1553.0,0.03249633814605566,0.7962022035994984,0.2519055551185313,0.5537648123356478,-3.196424621435454,1.1672863426823428
B3_full_VIS_internal_only_sensitivity,B_support_intensity,mimic_internal_test,is_sepsis_on_admission,0,258032.0,5382.0,0.020857878092639674,0.7943333463503144,0.20300698865335276,0.5557517711513424,-3.3897569902518234,1.1688404324300852
B3_full_VIS_internal_only_sensitivity,B_support_intensity,mimic_internal_test,is_sepsis_on_admission,1,772494.0,15425.0,0.01996779263010457,0.7931732486961953,0.17612836667943835,0.6003394153992939,-3.118640063100219,1.0275547783058492
B3_full_VIS_internal_only_sensitivity,B_support_intensity,mimic_internal_test,phenotype_transfer_group,stable_transfer_Phenotype_1_2,982736.0,19254.0,0.019592240438937824,0.789549580422795,0.1764536682925741,0.5908971656596124,-3.1931322515881626,1.0432469631558905
B3_full_VIS_internal_only_sensitivity,B_support_intensity,mimic_internal_test,phenotype_transfer_group,weak_transfer_Phenotype_3,47790.0,1553.0,0.03249633814605566,0.7962022035994984,0.2519055551185313,0.5537648123356478,-3.196424621435454,1.1672863426823428
C2_MT2_physiology_minimal_recency,C_measurement_process,mimic_internal_test,phenotype_label,Phenotype_1,611693.0,11402.0,0.01864006944660148,0.7936095341972907,0.1042639908048118,0.6002403735737766,-3.29739158119932,0.8667530240745899
C2_MT2_physiology_minimal_recency,C_measurement_process,mimic_internal_test,phenotype_label,Phenotype_2,371043.0,7852.0,0.021161967750368556,0.7639765994053281,0.11239311389333935,0.5651396557379449,-3.2210419531972803,0.9114180968379151
C2_MT2_physiology_minimal_recency,C_measurement_process,mimic_internal_test,phenotype_label,Phenotype_3,47790.0,1553.0,0.03249633814605566,0.7492844092924132,0.1364243875650063,0.5534709347423303,-3.17500129561615,0.8807382964356454
C2_MT2_physiology_minimal_recency,C_measurement_process,mimic_internal_test,is_sepsis_on_admission,0,258032.0,5382.0,0.020857878092639674,0.7799792066598698,0.09540776451894191,0.5583036564694684,-3.4794511959930436,0.8775023302677624
C2_MT2_physiology_minimal_recency,C_measurement_process,mimic_internal_test,is_sepsis_on_admission,1,772494.0,15425.0,0.01996779263010457,0.7855343247939609,0.11501057339847313,0.5944953811960281,-3.165812349134543,0.9040221257579483
C2_MT2_physiology_minimal_recency,C_measurement_process,mimic_internal_test,phenotype_transfer_group,stable_transfer_Phenotype_1_2,982736.0,19254.0,0.019592240438937824,0.7822022403418578,0.10632897416434675,0.5869877038354537,-3.266458248203654,0.8833467463571503
C2_MT2_physiology_minimal_recency,C_measurement_process,mimic_internal_test,phenotype_transfer_group,weak_transfer_Phenotype_3,47790.0,1553.0,0.03249633814605566,0.7492844092924132,0.1364243875650063,0.5534709347423303,-3.17500129561615,0.8807382964356454
C2_MT2_physiology_minimal_recency,C_measurement_process,eicu_external,phenotype_label,Phenotype_1,901939.0,17536.0,0.019442556536528523,0.7736569669495224,0.08888919175721494,0.6924684248415137,-3.7418694297766693,0.5939150963910923
