model_name,dataset_name,scenario,metric_name,bootstrap_full_sample_estimate,bootstrap_CI_lower,bootstrap_CI_upper,n_resamples_requested,n_resamples_valid,n_resamples_skipped,cluster_id_used,cluster_level,point_source
C1_dynamic_SOFA_clinical_comparator,eicu_external,primary_model,calibration_intercept,-3.5126092556619892,-3.5892243464115166,-3.4436665665150175,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,eicu_external,primary_model,calibration_slope,0.49193470537050843,0.45558328354019195,0.5263212872860003,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
C1_dynamic_SOFA_clinical_comparator,eicu_external,primary_model,ECE,0.25642369631149226,0.2496257595305877,0.26509763848944934,1000,1000,0,patient_id,patient-level,existing_prediction_parquet_plus_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,current_latest_value_reference,AUROC,0.8102778903274425,0.7963439206965869,0.8232339503024773,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,current_latest_value_reference,AUPRC,0.1891883359451771,0.16812688882392224,0.211591489309093,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,current_latest_value_reference,death_Brier,0.08471399237194847,0.0818236178774964,0.08811340947726705,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,current_latest_value_reference,multiclass_Brier,0.5524002516470321,0.546052923699015,0.5583261729713114,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,current_latest_value_reference,calibration_intercept,-3.080092968732493,-3.168194949185324,-3.014083065612648,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,current_latest_value_reference,calibration_slope,1.0030546274076915,0.941324915663837,1.058383574672345,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,current_latest_value_reference,ECE,0.21948576528533972,0.215388909290883,0.2245027929122324,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,current_latest_value_reference,AUROC,0.803802182291309,0.7897441843347274,0.8166174675104577,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,current_latest_value_reference,AUPRC,0.17673447307711493,0.15756658090805598,0.19764521907418897,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,current_latest_value_reference,death_Brier,0.09504238760053799,0.09178801415065659,0.09903067952065882,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,current_latest_value_reference,multiclass_Brier,0.5823965860187214,0.577203572479281,0.5878510191723119,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,current_latest_value_reference,calibration_intercept,-3.173816101282646,-3.261118361132687,-3.107716119081845,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,current_latest_value_reference,calibration_slope,1.00997178916976,0.9475955625661882,1.0655236664946628,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,current_latest_value_reference,ECE,0.23892869859926108,0.23440390834762542,0.2446490126939763,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,current_latest_value_reference,AUROC,0.7977562674402091,0.7833785792096832,0.8107582947762925,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,current_latest_value_reference,AUPRC,0.17110631233337878,0.15260048794625541,0.1920866266966303,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,current_latest_value_reference,death_Brier,0.09202886450382781,0.08880648666966008,0.09582874790773098,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,current_latest_value_reference,multiclass_Brier,0.5852221883900901,0.5800301264390225,0.5906702295459783,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,current_latest_value_reference,calibration_intercept,-3.1233281760063956,-3.2126073353073874,-3.0540278083498023,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,current_latest_value_reference,calibration_slope,1.0132535819726045,0.9542482334174383,1.0720331400630425,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,current_latest_value_reference,ECE,0.2338167927629851,0.22910879056971736,0.23965220352170835,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
